BotName, Behaviour, PositionX, PositionY, OrientationX, OrientationY,  DistanceToEnemyFlag, DistanceToOwnFlag, DistanceToEnemyBase, DistanceToOwnBase, DistanceToEnemyFlagScore, DistanceToOwnFlagScore, DistanceToEnemyFlagSpawn, DistanceToOwnFlagSpawn, Visibility, DistanceToNearestEnemy, GameState
2, 0, 67, 11, -3.016065, 28, 24, 78, 32, 50, 58, 28, 28, 45, 999999, 0, 3, 5633
2, 0, 66, 11, -2.6787317, 27, 23, 77, 33, 49, 57, 27, 27, 51, 999999, 0, 3, 5766
2, 0, 66, 10, -2.5430186, 28, 24, 78, 34, 50, 58, 28, 28, 55, 999999, 0, 3, 5899
2, 0, 65, 10, -2.5114527, 27, 23, 77, 35, 49, 57, 27, 27, 56, 999999, 0, 3, 6033
2, 0, 64, 9, -2.3864427, 27, 23, 77, 37, 49, 57, 27, 27, 57, 999999, 0, 3, 6166
2, 0, 64, 8, -2.357367, 28, 24, 78, 38, 50, 58, 28, 28, 57, 999999, 0, 3, 6299
2, 0, 63, 8, -2.3506045, 27, 23, 77, 39, 49, 57, 27, 27, 55, 999999, 0, 3, 6433
2, 0, 63, 7, -2.4563458, 26, 22, 78, 40, 50, 58, 26, 26, 55, 999999, 0, 3, 6566
2, 0, 62, 7, -2.5326872, 25, 21, 77, 41, 49, 57, 25, 25, 53, 999999, 0, 3, 6699
2, 0, 61, 6, -2.5504441, 23, 19, 77, 43, 49, 57, 23, 23, 47, 999999, 0, 3, 6833
2, 0, 61, 6, -2.4899154, 23, 19, 77, 43, 49, 57, 23, 23, 47, 999999, 0, 3, 6966
2, 0, 60, 6, -2.444652, 22, 18, 76, 44, 48, 56, 22, 22, 41, 999999, 0, 3, 7099
2, 0, 60, 5, -2.4341242, 21, 17, 77, 45, 49, 57, 21, 21, 42, 999999, 0, 3, 7233
